"School_Type","Location","Infrastructure","Teaching_Staff","Gender","Caste","Age","Standard","Socioeconomic_Status","Dropout_Status","Dropout_Reason"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Low","Dropout","Family issues"
"Government","Rural","Basic","Excellent","Male","SC","15","9","Moderate","Dropout","Financial"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","General","14","8","Low","Dropout","Family issues"
"Private","Urban","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","","Basic","Poor","Female","OBC","16","10","Low","Dropout","Health issues"
"Government","Urban","Basic","Poor","Male","General","14","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Moderate","Dropout","Family issues"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Moderate","Dropout","Family issues"
"Private","Urban","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Low","Dropout","Family issues"
"Government","Rural","Basic","Excellent","Male","SC","15","9","Moderate","Dropout","Financial"
"Government","Rural","Basic","Poor","Male","General","15","9","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Female","SC","16","10","High","Enrolled","N/A"
"Government","Rural","Basic","Excellent","Male","ST","14","8","Moderate","Dropout","Financial"
"Private","Semi-Urban","Good","Good","Female","OBC","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Male","General","16","10","Low","Dropout","Health issues"
"Government","Urban","Basic","Excellent","Female","ST","14","8","Low","Dropout","Family issues"
"Private","Semi-Urban","Good","Good","Male","SC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Good","Good","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Excellent","Female","General","16","10","Low","Dropout","Family issues"
"Government","Semi-Urban","Basic","Poor","Male","SC","14","8","Low","Dropout","Financial"
"Government","Rural","Basic","Excellent","Male","ST","15","9","Low","Dropout","Health issues"
"Private","Urban","Basic","Poor","Female","OBC","16","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Poor","Male","General","14","8","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Urban","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Moderate","Dropout","Family issues"
"Government","Semi-Urban","Basic","Poor","Male","SC","14","8","Moderate","Dropout","Financial"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","General","14","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","General","14","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Moderate","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","SC","14","8","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","ST","16","10","Low","Dropout","Family issues"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Urban","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Moderate","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Urban","Basic","Poor","Female","General","16","10","Moderate","Dropout","Health issues"
"Government","Semi-Urban","Basic","Poor","Male","ST","14","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Excellent","Male","SC","15","9","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","OBC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","General","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","ST","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","SC","16","10","Low","Dropout","Financial"
"Government","Semi-Urban","Basic","Poor","Male","OBC","14","8","Low","Dropout","Health issues"
"Private","Rural","Basic","Excellent","Male","General","15","9","High","Enrolled","N/A"
"Government","Urban","Basic","Poor","Female","ST","16","10","Moderate","Dropout","Family issues"
"Government","Semi-Urban","Basic","Poor","Male","SC","14","8","Moderate","Dropout","Financial"
"Private","Rural","Basic","Excellent","Male","OBC","15","9","High","Enrolled","N/A"
"Government","Rural","Basic","Poor","Female","General","16","10","Low","Dropout","Health issues"
"Private","Semi-Urban","Good","Excellent","Male","General","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","10","5","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Male","ST","14","9","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Good","Good","Female","OBC","11","6","Moderate","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","General","13","8","Low","Dropout","Social_Issues"
"Private","Rural","Basic","Good","Female","SC","15","10","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","12","7","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Good","Good","Male","General","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Excellent","Female","SC","13","8","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","ST","12","7","High","Enrolled","N/A"
"Government","Rural","Good","Good","Female","OBC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Male","General","14","9","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","SC","15","10","Low","Dropout","Economic_Reasons"
"Private","Urban","Good","Good","Male","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","ST","10","5","Low","Dropout","Social_Issues"
"Government","Rural","Poor","Poor","Male","General","13","8","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Female","SC","14","9","High","Enrolled","N/A"
"Private","Semi-Urban","Basic","Good","Male","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","ST","11","6","Low","Dropout","Economic_Reasons"
"Private","Urban","Good","Good","Male","General","14","9","High","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Female","SC","13","8","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","OBC","10","5","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Female","ST","15","10","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Good","Good","Male","General","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Female","OBC","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","ST","13","8","Low","Dropout","Social_Issues"
"Government","Rural","Poor","Poor","Male","OBC","10","5","Low","Dropout","Social_Issues"
"Private","Rural","Good","Good","Female","General","15","10","High","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","14","9","Moderate","Enrolled","N/A"
"Government","Urban","Poor","Poor","Female","SC","12","7","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Male","General","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Female","OBC","13","8","Moderate","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","ST","10","5","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Female","General","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","SC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Poor","Poor","Female","OBC","12","7","Low","Dropout","Economic_Reasons"
"Government","Urban","Good","Good","Male","ST","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Female","General","13","8","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","SC","10","5","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","OBC","14","9","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Basic","Good","Male","ST","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Good","Good","Female","General","15","10","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","13","8","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","OBC","14","9","Low","Dropout","Poverty"
"Government","Urban","Poor","Poor","Male","ST","11","6","Low","Dropout","Social_Issues"
"Private","Rural","Good","Good","Male","General","10","5","High","Enrolled","N/A"
"Government","Semi-Urban","Excellent","Excellent","Female","SC","12","7","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Male","OBC","15","10","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Female","ST","13","8","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Male","General","14","9","High","Enrolled","N/A"
"Government","Rural","Good","Good","Female","OBC","12","7","Low","Dropout","Social_Issues"
"Government","Urban","Excellent","Excellent","Male","SC","11","6","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Basic","Good","Female","ST","10","5","Low","Dropout","Poverty"
"Private","Rural","Poor","Poor","Male","General","15","10","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","OBC","14","9","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","SC","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Good","Good","Male","ST","13","8","High","Enrolled","N/A"
"Government","Urban","Excellent","Excellent","Female","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Basic","Good","Male","ST","14","9","Moderate","Enrolled","N/A"
"Private","Rural","Poor","Poor","Female","General","10","5","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","ST","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","OBC","13","8","Low","Dropout","Social_Issues"
"Government","Rural","Good","Good","Male","General","12","7","Low","Dropout","Economic_Reasons"
"Government","Rural","Excellent","Excellent","Male","SC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Female","ST","10","5","Moderate","Enrolled","N/A"
"Government","Urban","Poor","Poor","Male","OBC","15","10","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Female","General","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","SC","13","8","Low","Dropout","Social_Issues"
"Government","Rural","Good","Good","Female","OBC","12","7","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Male","ST","11","6","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Basic","Good","Female","General","14","9","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","SC","10","5","Low","Dropout","Poverty"
"Government","Rural","Basic","Good","Male","OBC","15","10","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Poor","Poor","Female","ST","12","7","Low","Dropout","Economic_Reasons"
"Private","Urban","Good","Good","Male","General","13","8","Low","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Female","SC","14","9","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","OBC","11","6","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Female","ST","10","5","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Male","General","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","SC","13","8","Low","Dropout","Social_Issues"
"Government","Rural","Good","Good","Female","OBC","12","7","Low","Dropout","Economic_Reasons"
"Private","Urban","Excellent","Excellent","Male","ST","11","6","Low","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","General","14","9","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Male","SC","10","5","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","OBC","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","ST","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Good","Good","Male","General","13","8","High","Enrolled","N/A"
"Private","Urban","Excellent","Excellent","Female","SC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Female","ST","10","5","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","General","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","SC","13","8","Low","Dropout","Poverty"
"Government","Rural","Good","Good","Female","OBC","12","7","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Male","ST","11","6","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","General","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Poor","Poor","Male","OBC","10","5","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Male","ST","15","10","High","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Female","SC","12","7","Moderate","Enrolled","N/A"
"Private","Urban","Basic","Good","Male","General","12","7","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Good","Excellent","Female","SC","10","5","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Male","ST","14","9","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","OBC","11","6","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","General","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Good","Good","Female","SC","15","10","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","ST","12","7","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Excellent","Excellent","Male","General","11","6","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Female","SC","13","8","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Male","ST","12","7","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Female","OBC","11","6","Low","Dropout","Poverty"
"Private","Urban","Excellent","Excellent","Male","General","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","SC","15","10","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Good","Good","Male","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Female","ST","10","5","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Poor","Poor","Male","General","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Male","SC","14","9","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","ST","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Good","Good","Male","General","14","9","High","Enrolled","N/A"
"Private","Urban","Excellent","Excellent","Female","SC","13","8","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","OBC","10","5","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Female","ST","15","10","Low","Dropout","Social_Issues"
"Government","Rural","Excellent","Excellent","Male","General","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Basic","Good","Female","SC","12","7","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Male","OBC","14","9","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Female","ST","13","8","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Poor","Poor","Male","General","10","5","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Good","Good","Female","SC","15","10","High","Enrolled","N/A"
"Government","Urban","Excellent","Excellent","Male","OBC","12","7","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Basic","Good","Male","ST","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Female","General","14","9","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","SC","10","5","Low","Dropout","Poverty"
"Government","Semi-Urban","Good","Good","Male","OBC","15","10","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Female","ST","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","General","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Basic","Good","Female","SC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","OBC","11","6","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Female","ST","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Basic","Good","Male","General","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Urban","Excellent","Excellent","Female","SC","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Male","ST","12","7","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Male","General","11","6","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","OBC","14","9","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Poor","Poor","Male","SC","10","5","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Good","Good","Male","ST","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","OBC","12","7","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Female","General","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Male","SC","14","9","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Female","ST","10","5","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Basic","Good","Male","OBC","15","10","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Male","General","12","7","Moderate","Enrolled","N/A"
"Government","Urban","Excellent","Excellent","Female","SC","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Basic","Good","Female","ST","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","General","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Female","SC","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","OBC","14","9","Low","Dropout","Poverty"
"Government","Urban","Excellent","Excellent","Female","ST","12","7","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Basic","Good","Male","General","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Female","SC","10","5","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","OBC","13","8","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","ST","14","9","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Good","Good","Female","General","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Female","SC","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Poor","Poor","Male","ST","11","6","Low","Dropout","Economic_Reasons"
"Private","Urban","Excellent","Excellent","Female","General","10","5","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","OBC","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","15","10","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","General","11","6","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","SC","14","9","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Male","OBC","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","ST","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","General","12","7","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Excellent","Excellent","Female","SC","13","8","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Male","OBC","14","9","High","Enrolled","N/A"
"Private","Semi-Urban","Basic","Good","Male","ST","10","5","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","General","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","ST","14","9","Low","Dropout","Poverty"
"Private","Semi-Urban","Good","Good","Male","OBC","13","8","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Female","General","12","7","Low","Dropout","Poverty"
"Government","Semi-Urban","Basic","Good","Male","SC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","10","5","Moderate","Enrolled","N/A"
"Private","Urban","Excellent","Excellent","Female","OBC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Male","General","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Poor","Poor","Female","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","ST","12","7","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Basic","Good","Male","OBC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Excellent","Excellent","Female","General","10","5","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","14","9","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Basic","Good","Female","ST","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","OBC","12","7","Low","Dropout","Economic_Reasons"
"Government","Rural","Excellent","Excellent","Male","General","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Male","SC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Female","OBC","11","6","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Female","ST","10","5","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","SC","14","9","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Female","OBC","12","7","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Good","Excellent","Male","General","13","8","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","ST","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","General","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Male","OBC","14","9","Moderate","Enrolled","N/A"
"Private","Urban","Excellent","Excellent","Female","SC","13","8","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","ST","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","General","15","10","Moderate","Enrolled","N/A"
"Private","Rural","Poor","Poor","Female","OBC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","SC","12","7","Low","Dropout","Poverty"
"Government","Semi-Urban","Basic","Good","Female","ST","13","8","Low","Dropout","Social_Issues"
"Government","Rural","Basic","Good","Male","OBC","10","5","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Female","General","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","SC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","ST","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","OBC","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","General","14","9","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Female","SC","13","8","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Female","General","10","5","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Male","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","14","9","Low","Dropout","Social_Issues"
"Government","Urban","Poor","Poor","Male","ST","13","8","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Male","General","12","7","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Good","Excellent","Female","SC","14","9","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","ST","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","General","13","8","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Female","OBC","12","7","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Male","SC","10","5","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","ST","14","9","Low","Dropout","Social_Issues"
"Private","Rural","Basic","Good","Female","OBC","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","SC","13","8","Low","Dropout","Poverty"
"Government","Semi-Urban","Good","Good","Male","General","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","ST","10","5","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","OBC","14","9","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Female","SC","12","7","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","General","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","ST","15","10","High","Enrolled","N/A"
"Government","Urban","Basic","Good","Female","OBC","14","9","Low","Dropout","Poverty"
"Government","Rural","Excellent","Excellent","Male","SC","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Poor","Poor","Male","ST","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","General","15","10","High","Enrolled","N/A"
